geoname_id,locale_code,continent_code,continent_name,country_iso_code,country_name,subdivision_1_iso_code,subdivision_1_name,subdivision_2_iso_code,subdivision_2_name,city_name,metro_code,time_zone,subdivision_hasc_code
3482927,en,NA,North America,MX,Mexico,TAM,Tamaulipas,,,Guadalupe Victoria,,America/Monterrey,TM
3482935,en,NA,North America,MX,Mexico,TAM,Tamaulipas,,,Graciano Sanchez,,America/Monterrey,TM
3483063,en,NA,North America,MX,Mexico,TAM,Tamaulipas,,,Xicotencatl,,America/Monterrey,TM
3483197,en,NA,North America,MX,Mexico,TAM,Tamaulipas,,,San Fernando,,America/Monterrey,TM
3483393,en,NA,North America,MX,Mexico,TAM,Tamaulipas,,,Ciudad Gustavo Diaz Ordaz,,America/Monterrey,TM
3483506,en,NA,North America,MX,Mexico,SLP,San Luis Potosí,,,Matlapa,,America/Mexico_City,SL
3483849,en,NA,North America,MX,Mexico,SLP,San Luis Potosí,,,Ciudad Valles,,America/Mexico_City,SL
3513966,en,NA,North America,MX,Mexico,MEX,México,,,Zumpango,,America/Mexico_City,EM
3513967,en,NA,North America,MX,Mexico,GRO,Guerrero,,,Zumpango del Rio,,America/Mexico_City,GR
3514008,en,NA,North America,MX,Mexico,VER,Veracruz,,,Zongolica,,America/Mexico_City,VE
3514031,en,NA,North America,MX,Mexico,HID,Hidalgo,,,Zimapan,,America/Mexico_City,HG
3514043,en,NA,North America,MX,Mexico,HID,Hidalgo,,,Zempoala,,America/Mexico_City,HG
3514051,en,NA,North America,MX,Mexico,PUE,Puebla,,,Zaragoza,,America/Mexico_City,PU
3514060,en,NA,North America,MX,Mexico,HID,Hidalgo,,,Zapotlan de Juarez,,America/Mexico_City,HG
3514063,en,NA,North America,MX,Mexico,PUE,Puebla,,,Zapotitlan,,America/Mexico_City,PU
3514134,en,NA,North America,MX,Mexico,HID,Hidalgo,,,Zacualtipan,,America/Mexico_City,HG
3514148,en,NA,North America,MX,Mexico,PUE,Puebla,,,Zacatlan,,America/Mexico_City,PU
3514163,en,NA,North America,MX,Mexico,MOR,Morelos,,,Zacatepec,,America/Mexico_City,MO
3514179,en,NA,North America,MX,Mexico,PUE,Puebla,,,Zacapoaxtla,,America/Mexico_City,PU
3514268,en,NA,North America,MX,Mexico,PUE,Puebla,,,San Pedro Yeloixtlahuacan,,America/Mexico_City,PU
3514278,en,NA,North America,MX,Mexico,MOR,Morelos,,,Yecapixtla,,America/Mexico_City,MO
3514321,en,NA,North America,MX,Mexico,MOR,Morelos,,,Yautepec,,America/Mexico_City,MO
3514326,en,NA,North America,MX,Mexico,PUE,Puebla,,,Yaonahuac,,America/Mexico_City,PU
3514349,en,NA,North America,MX,Mexico,CHP,Chiapas,,,Yajalon,,America/Mexico_City,CS
3514398,en,NA,North America,MX,Mexico,MOR,Morelos,,,Xoxocotla,,America/Mexico_City,MO
3514437,en,NA,North America,MX,Mexico,MOR,Morelos,,,Xochitepec,,America/Mexico_City,MO
3514450,en,NA,North America,MX,Mexico,CMX,Mexico City,,,Xochimilco,,America/Mexico_City,DF
3514502,en,NA,North America,MX,Mexico,SLP,San Luis Potosí,,,Xilitla,,America/Mexico_City,SL
3514510,en,NA,North America,MX,Mexico,PUE,Puebla,,,Xicotepec de Juarez,,America/Mexico_City,PU
3514518,en,NA,North America,MX,Mexico,VER,Veracruz,,,Xico,,America/Mexico_City,VE
3514519,en,NA,North America,MX,Mexico,MEX,México,,,Xico,,America/Mexico_City,EM
3514660,en,NA,North America,MX,Mexico,VER,Veracruz,,,Camaron de Tejeda,,America/Mexico_City,VE
3514663,en,NA,North America,MX,Mexico,CMX,Mexico City,,,Alvaro Obregon,,America/Mexico_City,DF
3514669,en,NA,North America,MX,Mexico,CMX,Mexico City,,,Villahermosa,,America/Mexico_City,DF
3514670,en,NA,North America,MX,Mexico,TAB,Tabasco,,,Villahermosa,,America/Mexico_City,TB
3514674,en,NA,North America,MX,Mexico,CMX,Mexico City,,,Gustavo Adolfo Madero,,America/Mexico_City,DF
3514675,en,NA,North America,MX,Mexico,MEX,México,,,Villa Guerrero,,America/Mexico_City,EM
3514677,en,NA,North America,MX,Mexico,CHP,Chiapas,,,Villaflores,,America/Mexico_City,CS
3514680,en,NA,North America,MX,Mexico,MEX,México,,,Villa del Carbon,,America/Mexico_City,EM
3514683,en,NA,North America,MX,Mexico,MEX,México,,,Villa Cuauhtemoc,,America/Mexico_City,EM
3514684,en,NA,North America,MX,Mexico,CHP,Chiapas,,,Villa Corzo,,America/Mexico_City,CS
3514780,en,NA,North America,MX,Mexico,VER,Veracruz,,,,,America/Mexico_City,VE
3514783,en,NA,North America,MX,Mexico,VER,Veracruz,,,Veracruz,,America/Mexico_City,VE
3514843,en,NA,North America,MX,Mexico,VER,Veracruz,,,Vega de Alatorre,,America/Mexico_City,VE
3514868,en,NA,North America,MX,Mexico,TAM,Tamaulipas,,,Valle Hermoso,,America/Monterrey,TM
3514876,en,NA,North America,MX,Mexico,YUC,Yucatán,,,Valladolid,,America/Merida,YU
3514906,en,NA,North America,MX,Mexico,VER,Veracruz,,,Ursulo Galvan,,America/Mexico_City,VE
3514916,en,NA,North America,MX,Mexico,OAX,Oaxaca,,,Union Hidalgo,,America/Mexico_City,OA
3514925,en,NA,North America,MX,Mexico,CMX,Mexico City,,,Unidad del Seguro Social en Santa Fe,,America/Mexico_City,DF
3514963,en,NA,North America,MX,Mexico,TLA,Tlaxcala,,,Tzompantepec,,America/Mexico_City,TL
3514994,en,NA,North America,MX,Mexico,CHP,Chiapas,,,Tuzantan,,America/Mexico_City,CS
3514997,en,NA,North America,MX,Mexico,PUE,Puebla,,,Tuzamapan,,America/Mexico_City,PU
3515001,en,NA,North America,MX,Mexico,CHP,Chiapas,,,Tuxtla Gutiérrez,,America/Mexico_City,CS
3515002,en,NA,North America,MX,Mexico,CHP,Chiapas,,,Tuxtla Chico,,America/Mexico_City,CS
3515011,en,NA,North America,MX,Mexico,VER,Veracruz,,,Tuxpam de Rodriguez Cano,,America/Mexico_City,VE
3515040,en,NA,North America,MX,Mexico,ROO,Quintana Roo,,,Tulum,,America/Cancun,QR
3515042,en,NA,North America,MX,Mexico,MEX,México,,,Tultitlan de Mariano Escobedo,,America/Mexico_City,EM
3515044,en,NA,North America,MX,Mexico,MEX,México,,,Tultepec,,America/Mexico_City,EM
